"Keyword Phrase","Cerebro IQ Score","Search Volume","Search Volume Trend","Suggested PPC Bid","Keyword Sales","Competing Products","Title Density","Competitor Rank (avg)"
"omega 3",50787,152361,-2,"N/A (N/A – N/A)","-",3000,33,17
"proteina",7188,143751,-1,"N/A (N/A – N/A)","-",20000,40,18
"magnesio",2159,64763,-18,"N/A (N/A – N/A)","-",30000,44,15
"glicinato de magnesio",57160,37154,-37,"N/A (N/A – N/A)","-",650,40,10
"habits proteina",60535,13802,6,"N/A (N/A – N/A)","-",228,3,2
"omega 3 b life",91324,12420,-1,"N/A (N/A – N/A)","-",136,"-",12
"birdman proteina",25400,11811,5,"N/A (N/A – N/A)","-",465,1,28
"vitamina d",22697,8534,"-","N/A (N/A – N/A)","-",376,5,2
"pre entreno",20365,8024,-1,"N/A (N/A – N/A)","-",394,16,1
"magnesio glicinato",12519,7674,-10,"N/A (N/A – N/A)","-",613,5,8
"vitamina d3 k2",42078,6985,-1,"N/A (N/A – N/A)","-",166,5,20
"proteina habits",20174,6597,2,"N/A (N/A – N/A)","-",327,"-",3
"habits",74262,6238,1,"N/A (N/A – N/A)","-",84,34,5
"vitamina d3",15360,6221,-2,"N/A (N/A – N/A)","-",405,46,2
"proteína",310,6205,"-","N/A (N/A – N/A)","-",20000,40,16
"bisglicinato de magnesio",9022,6144,-2,"N/A (N/A – N/A)","-",681,17,28
"glicinato de magnesio 500 mg",8855,5986,-1,"N/A (N/A – N/A)","-",676,9,16
"proteina vegana",9290,5927,2,"N/A (N/A – N/A)","-",638,29,18
"fitmingo",35646,5846,-2,"N/A (N/A – N/A)","-",164,4,10
"vitaminas",128,5114,-9,"N/A (N/A – N/A)","-",40000,20,27
"pre workout",10907,5039,-4,"N/A (N/A – N/A)","-",462,24,1
"proteina sin sabor",5020,5020,-1,"N/A (N/A – N/A)","-",1000,4,10
"proteina en polvo",1645,4936,-4,"N/A (N/A – N/A)","-",3000,4,144
"vitamina d3 5000 iu",27968,4307,-16,"N/A (N/A – N/A)","-",154,"-",3
"preentreno",7684,3020,-5,"N/A (N/A – N/A)","-",393,"-",1
"magnesium glycinate",5598,2351,-24,"N/A (N/A – N/A)","-",420,11,2
"proteina vegetal",2967,2089,20,"N/A (N/A – N/A)","-",704,20,17
"king protein",3400,2081,-38,"N/A (N/A – N/A)","-",612,3,23
"acido alfa lipoico",9285,1987,-3,"N/A (N/A – N/A)","-",214,36,3
"glicinato de magnesio 400mg",2589,1841,"-","N/A (N/A – N/A)","-",711,2,13
"b life omega 3",8133,1342,7,"N/A (N/A – N/A)","-",165,5,22
"habits proteina cacao",13265,1300,67,"N/A (N/A – N/A)","-",98,1,2
"dragon pharma",4040,1220,-14,"N/A (N/A – N/A)","-",302,4,18
"proteinas",59,1170,-2,"N/A (N/A – N/A)","-",20000,2,13
"raw",2393,1077,"-","N/A (N/A – N/A)","-",450,48,9
"vitamina d3 4000 ui",6581,1053,-11,"N/A (N/A – N/A)","-",160,"-",3